Num.Entidad,Entidad,Num.Municipio,Municipio,A2000,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
4,04 Campeche,2,002 Campeche,4,,,1,,,2,,,,,1,
4,04 Campeche,4,004 Champotón,5,,,,,,,5,,,,,
4,04 Campeche,6,006 Hopelchen,4,,,,2,,,,2,,,,
4,04 Campeche,9,009 Escarcega,24,,,,1,,3,7,9,2,1,1,
4,04 Campeche,10,010 Calakmul,17,1,4,3,,1,2,1,2,,1,1,1
4,04 Campeche,11,011 Candelaria,18,1,1,3,1,,1,9,2,,,,
23,23 Quintana Roo,2,002 Felipe Carrillo Puerto,84,,,1,1,4,5,28,29,11,,3,2
23,23 Quintana Roo,4,004 Othon P. Blanco,247,11,6,22,29,44,46,25,23,15,2,17,7
23,23 Quintana Roo,5,005 Benito Juárez,3,,,,,,2,,,1,,,
23,23 Quintana Roo,6,006 José María Morelos,17,,,,2,,,4,7,3,,,1
23,23 Quintana Roo,8,008 Solidaridad,5,,,,1,1,1,,2,,,,
25,25 Sinaloa,4,004 Concordia,1,,,,,,,1,,,,,
25,25 Sinaloa,12,012 Mazatlán,11,,,2,,,,2,5,,1,1,
25,25 Sinaloa,14,014 Rosario; El,2,,,,,,,,2,,,,
27,27 Tabasco,6,006 Cunduacán,30,7,7,7,1,7,1,,,,,,
30,30 Veracruz,4,004 Actopan,1,,,1,,,,,,,,,
30,30 Veracruz,39,039 Coatzacoalcos,1,,,,,1,,,,,,,
30,30 Veracruz,45,045 Cosamaloapan,1,,,,,,,,,,,1,
30,30 Veracruz,61,061 Choapas; Las,1,,,,,1,,,,,,,
30,30 Veracruz,69,069 Gutiérrez Zamora,1,,,,,,,,,,,1,
30,30 Veracruz,77,077 Isla,1,,,,,,,,,,,1,
30,30 Veracruz,95,095 Juchique De Ferrer,2,,,,,,,,,,,2,
30,30 Veracruz,104,104 Mecayapan,1,,,1,,,,,,,,,
30,30 Veracruz,122,122 Pajapan,1,,,,,,1,,,,,,
