Num.Entidad,Entidad,Num.Municipio,Municipio,A2002,01 Enero,02 Febrero,03 Marzo,04 Abril,05 Mayo,06 Junio,07 Julio,08 Agosto,09 Septiembre,10 Octubre,11 Noviembre,12 Diciembre
04,04 Campeche,002,002 Campeche,8,,1,1,2,2,,,,2,,,
04,04 Campeche,004,004 Champotón,2,,,,,,,1,1,,,,
04,04 Campeche,005,005 Hecelchakán,1,,,,,,,1,,,,,
04,04 Campeche,006,006 Hopelchen,8,,7,,,,,,,,1,,
04,04 Campeche,008,008 Tenabo,1,,,,,,,,,,1,,
04,04 Campeche,009,009 Escárcega,24,2,1,1,6,,3,4,1,1,4,,1
04,04 Campeche,010,010 Calakmul,177,8,1,11,86,7,24,19,5,3,5,5,3
04,04 Campeche,011,011 Candelaria,61,4,,23,5,1,15,1,8,,2,,2
11,11 Guanajuato,020,020 León,70,,,,,70,,,,,,,
18,18 Nayarit,001,001 Acaponeta,3,,1,,,,,,,,,2,
18,18 Nayarit,004,004 Compostela,11,1,,,,1,1,2,,,6,,
18,18 Nayarit,008,008 Xalisco,5,,1,,,,,2,,,1,1,
18,18 Nayarit,010,010 Rosamorada,3,,,,,,,2,1,,,,
18,18 Nayarit,011,011 Ruíz,6,,1,,,1,3,,1,,,,
18,18 Nayarit,012,012 San Blas,1,,1,,,,,,,,,,
18,18 Nayarit,017,017 Tepic,1,,,,,,,,,,,1,
23,23 Quintana Roo,002,002 Felipe Carrillo Puerto,37,7,6,9,8,1,,,1,1,1,2,1
23,23 Quintana Roo,004,004 Othon P. Blanco,258,11,7,35,31,55,32,30,15,13,6,9,14
23,23 Quintana Roo,005,005 Benito Juárez,1,,,,,,1,,,,,,
23,23 Quintana Roo,006,006 José María Morelos,6,,1,4,,,,1,,,,,
23,23 Quintana Roo,007,007 Lázaro Cárdenas,1,,,,,,1,,,,,,
25,25 Sinaloa,012,012 Mazatlán,9,,,,1,,1,,5,1,1,,
27,27 Tabasco,001,001 Balancán,3,,,,,1,,1,,,,1,
27,27 Tabasco,002,002 Cárdenas,74,,,2,20,18,3,8,4,9,5,5,
27,27 Tabasco,004,004 CENTRO,5,,,2,,,,,,1,,2,
27,27 Tabasco,005,005 Comalcalco,59,,,2,11,12,11,5,4,5,4,3,2
27,27 Tabasco,006,006 Cunduacán,90,,,7,24,14,24,8,4,,6,3,
27,27 Tabasco,008,008 Huimanguillo,88,4,11,8,17,20,9,10,3,2,2,2,
27,27 Tabasco,010,010 Jalpa De Méndez,23,,,3,5,2,2,1,,5,1,4,
27,27 Tabasco,014,014 Paraiso,6,,,,1,,,1,2,1,1,,
27,27 Tabasco,016,016 TEAPA,1,,,,,,,,1,,,,
27,27 Tabasco,017,017 Tenosique,14,,,,7,2,,,2,,2,1,
30,30 Veracruz,082,082 Ixhuatlán Del Sureste,5,,2,,,,,,,1,2,,
30,30 Veracruz,083,083 Ixhuatlán De Madero,1,,,,,1,,,,,,,
30,30 Veracruz,108,108 Minatitlán,3,,,,,1,,1,,,1,,
30,30 Veracruz,111,111 Moloacán,5,,2,,2,,,,,,1,,
30,30 Veracruz,130,130 Playa Vicente,1,,,,,,,,1,,,,
30,30 Veracruz,141,141 San Andrés Tuxtla,1,,,,,1,,,,,,,
30,30 Veracruz,169,169 José Azueta,2,,,,,,,,,1,1,,
