Num.Entidad,Entidad,Num.Municipio,Municipio,A2003,A2004,A2005,A2006,A2007,A2008,A2009,A2010,A2011,A2012,A2013,A2014,A2015,A2016,ene-03,feb-03,mar-03,abr-03,may-03,jun-03,jul-03,ago-03,sep-03,oct-03,nov-03,dic-03,ene-04,feb-04,mar-04,abr-04,may-04,jun-04,jul-04,ago-04,sep-04,oct-04,nov-04,dic-04,ene-05,feb-05,mar-05,abr-05,may-05,jun-05,jul-05,ago-05,sep-05,oct-05,nov-05,dic-05,ene-06,feb-06,mar-06,abr-06,may-06,jun-06,jul-06,ago-06,sep-06,oct-06,nov-06,dic-06,ene-07,feb-07,mar-07,abr-07,may-07,jun-07,jul-07,ago-07,sep-07,oct-07,nov-07,dic-07,ene-08,feb-08,mar-08,abr-08,may-08,jun-08,jul-08,ago-08,sep-08,oct-08,nov-08,dic-08,ene-09,feb-09,mar-09,abr-09,may-09,jun-09,jul-09,ago-09,sep-09,oct-09,nov-09,dic-09,ene-10,feb-10,mar-10,abr-10,may-10,jun-10,jul-10,ago-10,sep-10,oct-10,nov-10,dic-10,ene-11,feb-11,mar-11,abr-11,may-11,jun-11,jul-11,ago-11,sep-11,oct-11,nov-11,dic-11,ene-12,feb-12,mar-12,abr-12,may-12,jun-12,jul-12,ago-12,sep-12,oct-12,nov-12,dic-12,ene-13,feb-13,mar-13,abr-13,may-13,jun-13,jul-13,ago-13,sep-13,oct-13,nov-13,dic-13,ene-14,feb-14,mar-14,abr-14,may-14,jun-14,jul-14,ago-14,sep-14,oct-14,nov-14,dic-14,ene-15,feb-15,mar-15,abr-15,may-15,jun-15,jul-15,ago-15,sep-15,oct-15,nov-15,dic-15,ene-16,feb-16,mar-16,abr-16,may-16,jun-16,jul-16,,
02,02 Baja California,001,001 Ensenada,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
03,03 Baja California Sur,001,001 Comondú,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03,03 Baja California Sur,008,008 Los Cabos,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04,04 Campeche,002,002 Campeche,3,1,2,6,5,11,6,5,2,12,12,9,4,3,,,1,1,1,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,1,4,,,,,,1,,,,,2,2,,,,,,1,,,1,6,2,,,1,1,,,,1,1,,,,1,3,,,,,,,1,,1,,1,,,,2,,,,,1,1,,,,,,,,,,1,,1,3,,,3,1,1,2,,1,1,1,,2,2,2,,3,,,,,,,3,,1,2,,1,,1,1,1,,1,,,,,,2,,,,,,,,2,1,,,
04,04 Campeche,003,003 Carmen,0,1,3,1,0,0,0,0,3,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,
04,04 Campeche,004,004 Champotón,1,3,7,2,4,1,1,3,1,5,3,0,0,0,,,,,,,1,,,,,,,,,,,3,,,,,,,,,,2,1,,1,,3,,,,,1,,,,,,1,,,,,,,1,,1,1,1,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,1,,,1,,,,,,1,,,,,,,,,,,,,,3,,,,,1,1,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04,04 Campeche,005,005 Hecelchakán,0,1,1,1,0,1,0,0,0,2,1,1,0,0,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04,04 Campeche,006,006 Hopelchen,5,2,1,2,1,0,1,1,3,1,3,4,0,0,,,1,,2,1,,1,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,,,,,1,,,,,,,,3,,,,,,,,,,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
04,04 Campeche,009,009 Escárcega,21,27,43,20,29,38,13,34,55,70,50,21,47,52,,,1,3,2,6,4,1,1,,2,1,3,,2,,3,4,3,6,2,1,2,1,2,7,3,12,2,9,4,2,,1,1,,1,,5,,1,3,3,5,,1,1,,1,1,,7,4,7,2,5,,1,,1,5,3,7,7,6,3,2,3,1,1,,,2,,2,3,,2,1,,,,,3,,2,,,14,8,3,,,,7,,6,3,4,17,13,8,4,,,,,,,8,6,10,20,8,6,6,1,,2,3,3,9,9,11,7,2,,,2,2,2,3,4,2,3,1,2,3,3,,1,1,1,,2,2,,,18,6,9,2,1,,4,3,,6,7,11,11,12,5,,
04,04 Campeche,010,010 Calakmul,108,56,20,15,27,16,20,10,17,11,25,9,7,5,4,14,1,15,12,21,27,5,,,4,5,3,3,17,4,14,9,2,2,1,,,1,1,3,4,5,2,1,1,1,,2,,,,4,,2,2,6,1,,,,,,1,1,2,4,6,1,5,2,2,2,,1,,3,1,2,1,2,1,4,,2,,,,2,2,5,,3,4,,1,1,2,,,,4,1,,1,4,,,,,,1,,,,8,8,,,,,,,,2,5,1,,2,,1,,,,,2,1,4,6,7,2,,,1,2,,,3,,,,,2,3,,1,,,,1,1,,,3,1,,,,1,,,,,1,,,4,,,
